GIM1	CHOLOYLGLYCINE-HYDROLASE-RXN
GIM2	3.5.1.74
GIM3	RXN-17398 RXN-17399 RXN-17400 RXN-21338 RXN-21339 RXN-21340 RXN-2134 1 1.1.1.52-RXN 
GIM4	RXN-21342 RXN-21343 RXN-17416 RXN-21344 RXN-17419 RXN-21340 RXN-2134 1 1.1.1.52-RXN 
GIM5	RXN-17386 RXN-17387 
GIM6	7-ALPHA-HYDROXYSTEROID-DEH-RXN RXN-11470 
GIM7	RXN-11471 RXN-11472
GIM8	RXN-17410 RXN-17415
GIM9	3.7.1.4
GIM10	RXN0-5260 RXN0-5268 
GIM11	RXN-15740 R601-RXN 
GIM12	RXN-15740 RXN-19020 
GIM13	RXN0-5260 RXN-18584 NITRATE-REDUCTASE-CYTOCHROME-RXN 
GIM14	RXN-15740 RXN0-3501 
GIM15	RXN-15745 1.1.1.8-RXN 
GIM16	PHENYLALANINE-AMMONIA-LYASE-RXN RXN-2001 RXN-2002 RXN-2003 RXN-2006 ( RXN-2005 , RXN-6724 ) BENZOATE--COA-LIGASE-RXN  RXN-11272 
GIM17	PHENYLALANINE-AMMONIA-LYASE-RXN RXN-24254 BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN 
GIM18	PHENYLALANINE-AMMONIA-LYASE-RXN RXN-2001 RXN-2002 RXN-11278 BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN 
GIM19	3.2.1.31
GIM20	2.4.2.1
GIM21	2.4.2.8 RXN-7607
GIM22	3.13.1.9
GIM23	2.4.2.5
GIM24	6.3.2.6 4.3.2.2 2.1.2.3 3.5.4.10
GIM25	4.1.1.21 6.3.2.6 4.3.2.2 2.1.2.3 3.5.4.10
GIM26	6.3.2.6 4.3.2.2 6.3.4.23 3.5.4.10
GIM27	AMP-DEAMINASE-RXN RXN-7607
GIM28	ADENPHOSPHOR-RXN ADENODEAMIN-RXN
GIM29	2.7.7.85 
GIM30	3.1.4.59
GIM31	3.4.23.52
GIM32	5.3.1.28 HldE GmhB 5.1.3.20
GIM33	2.4.99.26 7.5.2.5 7.5.2.6 
GIM34	2.3.1.129 3.5.1.108 2.3.1.191 3.6.1.54 2.4.1.182 2.7.1.130
GIM35	DLendopeptidase
GIM36	2.6.1.16 5.4.2.10 2.3.1.157 2.7.7.23 2.5.1.7 1.3.1.98 6.3.2.8 6.3.2.9 6.3.2.13 6.3.2.7 6.3.2.4 6.3.2.10 6.3.2.45 2.7.8.13 2.4.1.227 2.4.1.129 3.4.16.4
GIM37	3.2.1.17 3.5.1.28 DLendopeptidase 3.4.17.13
GIM38	PHOSACETYLTRANS-RXN ACETATEKIN-RXN 
GIM39	ACETATE--COA-LIGASE-ADP-FORMING-RXN
GIM40	ACETATE--COA-LIGASE-RXN
GIM41	RXN-8807 
GIM42	ACETOACETYL-COA-TRANSFER-RXN
GIM43	RXN-6161 RXN0-3962
GIM44	GLUCOKIN-RXN PGLUCISOM-RXN FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN ACETATEKIN-RXN 
GIM45	GABATRANSAM-RXN 4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN RXN-8889
